Year,Common_Name,Scientific_Name,percent_cover_mean
1994,smooth cordgrass,Spartina alterniflora Loisel.,3.526315789473684
1995,smooth cordgrass,Spartina alterniflora Loisel.,24.803529411764707
1996,smooth cordgrass,Spartina alterniflora Loisel.,83.4511320754717
1997,smooth cordgrass,Spartina alterniflora Loisel.,45.25
1999,smooth cordgrass,Spartina alterniflora Loisel.,78.22916666666667
2001,smooth cordgrass,Spartina alterniflora Loisel.,38.28350515463917
2002,smooth cordgrass,Spartina alterniflora Loisel.,86.6969696969697
2003,smooth cordgrass,Spartina alterniflora Loisel.,31.632978723404257
2004,smooth cordgrass,Spartina alterniflora Loisel.,60.721311475409834
2005,smooth cordgrass,Spartina alterniflora Loisel.,23.982905982905983
2006,smooth cordgrass,Spartina alterniflora Loisel.,65
2007,smooth cordgrass,Spartina alterniflora Loisel.,60.68421052631579
2008,smooth cordgrass,Spartina alterniflora Loisel.,82.53846153846153
2009,smooth cordgrass,Spartina alterniflora Loisel.,79.9047619047619
2010,smooth cordgrass,Spartina alterniflora Loisel.,82.14285714285714
2011,smooth cordgrass,Spartina alterniflora Loisel.,90.75
2012,smooth cordgrass,Spartina alterniflora Loisel.,20.50181818181818
2013,smooth cordgrass,Spartina alterniflora Loisel.,28.88
2014,smooth cordgrass,Spartina alterniflora Loisel.,73.05
2015,smooth cordgrass,Spartina alterniflora Loisel.,76
2016,smooth cordgrass,Spartina alterniflora Loisel.,17.6
